name,num_atoms,pred_energy
Ipriflavone,21,0.6088221669197083
Asiatic acid,38,0.6357508301734924
Baicalein,20,0.6081254482269287
MPEP,15,0.6350295543670654
5-hydroxymethyl tolterodine (PNU 200577),25,0.6117777824401855
Baicalin,32,0.6150345802307129
Azithromycin,52,0.6131162643432617
Bergenin (Cuscutin),25,0.5980434417724609
Berberine chloride,26,0.8121259212493896
Caffeic acid,13,0.6148149967193604
Chlorogenic acid,25,0.617118239402771
Cinchonidine,24,0.6384633183479309
Amlodipine (Norvasc),28,0.6435437798500061
Cyclosporin A,85,0.606846809387207
Cytisine,14,0.6120396852493286
Dihydroartemisinin (DHA),23,0.6272443532943726
DL-Carnitine hydrochloride,12,0.7860310673713684
Emodin,20,0.6021113395690918
Enoxolone (Glycyrrhetin),38,0.642117977142334
10-Hydroxycamptothecin,27,0.6211896538734436
Formononetin (Formononetol),20,0.6049960851669312
Fumalic acid (Ferulic acid),14,0.6147658824920654
Glycyrrhizin (Glycyrrhizic Acid),61,0.6326205134391785
Gramine,13,0.6134964227676392
Rotundine,27,0.6057366132736206
Tolbutamide,18,0.6705147624015808
Hesperetin,22,0.6005479097366333
Hesperidin,43,0.6014325618743896
Honokiol,20,0.607776403427124
Hyodeoxycholic acid (HDCA),32,0.6422646045684814
Kaempferol,21,0.6018086671829224
Kinetin (6-Furfuryladenine),16,0.6058691143989563
L (+)-Rhamnose Monohydrate,12,0.602418839931488
Luteolin,21,0.6010462641716003
Magnolol,20,0.607068657875061
Matrine ((+)-Matrine),22,0.6910879611968994
Morin hydrate (Aurantica),23,0.6196599006652832
Nalidixic acid (NegGram),17,0.6145849227905273
Naringin (Naringoside),41,0.6020784378051758
Neohesperidin dihydrochalcone (Nhdc),43,0.6040879487991333
Oleanolic Acid (Caryophyllin),36,0.6425608396530151
Orotic acid (6-Carboxyuracil),11,0.5899510979652405
Osthole (Osthol),18,0.6129953861236572
Oxymatrine (Matrine N-oxide),23,0.6514269709587097
Paeonol (Peonol),12,0.5957702994346619
Parthenolide ((-)-Parthenolide),18,0.6163080930709839
Piperine (1-Piperoylpiperidine),21,0.61213219165802
Puerarin (Kakonein),31,0.6072577834129333
Quercetin dihydrate (Sophoretin),24,0.6227820515632629
Rutaecarpine (Rutecarpine),22,0.6139949560165405
Rutin (Rutoside),43,0.5997172594070435
"Salicin (Salicoside, Salicine)",20,0.6043440103530884
Sclareol,22,0.6262494325637817
Sodium Danshensu,15,0.715442419052124
Amantadine hydrochloride (Symmetrel),12,0.8354758024215698
Amfebutamone (Bupropion) HCl,17,0.8091390132904053
Benserazide HCl,19,0.8072339296340942
Bupivacaine hydrochloride (Marcain),22,0.8228698968887329
Bethanechol chloride,12,0.7866396903991699
Chlorpromazine HCl,22,0.8119971752166748
Clonidine hydrochloride (Catapres),15,0.800145149230957
Clozapine (Clozaril),23,0.6636717915534973
Dehydroepiandrosterone (DHEA),24,0.6721696853637695
Domperidone (Motilium),30,0.660845160484314
Estriol,24,0.6265082359313965
Famciclovir (Famvir),23,0.6107354164123535
Fenbendazole (Panacur),21,0.6255106329917908
Gallamine triethiodide (Flaxedil),39,4.847579002380371
Hexestrol (Bibenzyl),20,0.609146237373352
Imatinib (STI571) ,37,0.6121377944946289
Lincomycin hydrochloride (Lincocin),29,0.8048559427261353
Loperamide hydrochloride,35,0.8244891166687012
Manidipine (Manyper),45,0.6246508359909058
PCI-32765 (Ibrutinib),33,0.6122108697891235
Manidipine dihydrochloride (CV-4093),47,0.8196742534637451
Milrinone (Primacor),16,0.6074975728988647
Mitoxantrone 2HCl,34,0.8149427175521851
Moroxydine HCl,13,0.8028925657272339
Mycophenolic acid,23,0.6149208545684814
Nateglinide (Starlix),23,0.6227772235870361
Nitrendipine,26,0.6193639636039734
Novobiocin sodium (Albamycin),45,0.7220257520675659
Olanzapine (Zyprexa),22,0.6309424638748169
Olopatadine hydrochloride (Opatanol),26,0.8257445096969604
Ozagrel,17,0.627396821975708
Pancuronium dibromide,47,3.293285369873047
Quinine hydrochloride dihydrate,29,1.0410090684890747
Racecadotril (Acetorphan),27,0.6479087471961975
Ribavirin (Copegus),17,0.5896263122558594
Rosiglitazone maleate,33,0.6353329420089722
Scopolamine hydrobromide,27,3.472083806991577
Sotalol HCl,19,0.8063398599624634
Spectinomycin 2HCl,28,0.9131094217300415
Sulfadoxine (Sulphadoxine),21,0.6611759066581726
Terbinafine hydrochloride (Lamisil),23,0.8401986360549927
Vardenafil Hydrochloride Trihydrate (Vivanza,38,0.8119887113571167
Maprotiline hydrochloride,22,0.881820797920227
Naphazoline hydrochloride (Naphcon),17,0.8457872867584229
Epinephrine bitartrate (Adrenalinium),23,0.6096774339675903
Phenytoin sodium (Dilantin),20,0.7315521240234375
Phenytoin (Lepitoin),19,0.6220673322677612
Ciclopirox (Penlac),15,0.6129611730575562
Dopamine hydrochloride (Inotropin),12,0.8129684925079346
Ritodrine hydrochloride (Yutopar),24,0.9973697662353516
Isoconazole nitrate (Travogen),29,0.6453724503517151
Econazole nitrate (Spectazole),28,0.6537439227104187
Miconazole (Monistat),25,0.6431716680526733
Secnidazole (Flagentyl),13,0.6131210327148438
Rivaroxaban (Xarelto),29,0.6851741671562195
Fingolimod (FTY720) HCl,23,0.824074387550354
Pimecrolimus,57,0.6513540744781494
Tofacitinib citrate (CP-690550 citrate),36,0.6211958527565002
"Toremifene Citrate (Fareston, Acapodene)",42,0.6663753986358643
CAL-101 (GS-1101),31,0.6136983036994934
Neohesperidin,43,0.5974003076553345
Clomipramine hydrochloride (Anafranil),23,0.828384518623352
Ceftiofur hydrochloride ,37,0.7946576476097107
Phenformin hydrochloride ,16,0.8279807567596436
Erythromycin,52,0.6011456847190857
Trospium chloride (Sanctura),32,0.959476113319397
Tolterodine tartrate (Detrol LA),34,0.6243425607681274
Clomifene citrate (Serophene),42,0.6489291787147522
Cloxacillin sodium,32,0.7074384093284607
Niacin (Nicotinic acid),9,0.6115316152572632
Cortisone acetate (Cortone),32,0.6338560581207275
Isoprenaline hydrochloride,16,0.8105504512786865
Rosiglitazone (Avandia),25,0.6387100219726562
R788 (Fostamatinib),40,0.6920758485794067
Edaravone (MCI-186),13,0.6064300537109375
Dolutegravir (GSK1349572),31,0.604575514793396
Suplatast tosylate,33,0.6825650930404663
Fluocinonide (Vanos),37,0.6279871463775635
Curcumin,27,0.6043750047683716
Prednisolone acetate (Omnipred),32,0.6338560581207275
Dimethyl Fumarate,10,0.5769685506820679
Clinofibrate,34,0.6303379535675049
GSK1120212 (Trametinib),37,0.9249358177185059
Ciprofibrate,18,0.6959658861160278
Amoxicillin sodium (Amox),27,0.7073392868041992
"Fedratinib (SAR302503, TG101348)",37,0.6797280311584473
Brompheniramine hydrogen maleate,27,0.7639604210853577
Carvedilol,30,0.6141681671142578
Phenylephrine hydrochloride,14,0.834331750869751
Medroxyprogesterone acetate,31,0.6360061168670654
Ropinirole HCl,20,0.8247854709625244
"(+,-)-Octopamine HCl",12,0.810521125793457
"Dacomitinib (PF299804, PF-00299804)",33,0.6614499688148499
Linagliptin (BI-1356),35,0.6109859347343445
Erdosteine,15,0.5877035856246948
Fenoprofen calcium,37,1.2420722246170044
